Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT2G18520	4.562606008	3.473819716	3.787137901	4.58919317	3.612122248	4.498581345	13.24156999	10.85505899	9.336654135
AT2G18690	6.624962589	8.898317909	9.614045459	7.01219892	7.678594333	9.534005317	16.34532877	20.21963306	24.79629969
AT2G18890	8.574968618	8.287929763	9.09576924	11.11230505	12.90087448	11.63559445	21.05276468	20.5561139	19.6212937
AT2G18900	18.52351545	19.64273595	19.61711601	14.3919182	16.2825491	15.59499536	46.02468673	35.47764054	38.14745475
AT2G19050	0	0.036004386	0.040653619	0.117393648	0.202933985	0.041604312	0.123093502	0.186440503	0.116930055
AT2G19060	0.082373873	0.075152011	0.113141818	0.272262164	0.197672734	0.144734577	0.342577682	0.752371277	0.325424387
AT2G19190	0.269087987	0.298102977	0.336596909	0.285875272	0.17790546	0.303942611	1.219005586	0.599302638	1.138985354
AT2G19330	0	0.038523814	0.13049514	0.795519471	0.738256995	0.356124785	0.351218779	0.199486787	0.125112305
AT2G19340	0.028482733	0.051971204	0.088023341	0.338908116	0.087878658	0.330299874	0.207295222	0.188384723	0.140654064
AT2G19350	11.28466782	12.51961892	10.69190182	13.33061335	14.68615544	11.6028562	19.33724561	22.83858618	23.25364729
AT2G19450	5.235076431	5.876689499	5.416292371	6.116226213	4.986034609	5.159025903	71.82298873	92.23955788	95.56236986
AT2G19490	7.011291238	6.423934897	6.327482315	5.25865252	4.406549795	4.359084565	21.52631963	18.91143952	19.02802611
AT2G19530	2.711658861	2.857807557	2.456247716	3.56957772	2.981118523	3.253007408	7.631612285	6.051925899	4.802208519
AT2G19580	3.275798223	2.556042238	3.019307824	2.649807338	3.19165942	3.089914919	6.766905089	6.393949162	6.38550759
AT2G19582	0.381075396	0.063211972	0.178436279	0.103052501	0.320657372	0.182609046	0.46824286	0.523726058	0.855379521
AT2G19810	18.75090743	17.40854779	18.66594325	32.56693747	38.84664103	40.77090061	80.76214307	56.04680034	49.50332407
AT2G19860	22.62704219	20.94911612	22.20824985	24.6173579	23.78776279	24.71543027	50.645	38.46296922	36.93540515
AT2G19980	0.785106509	1.360922198	1.455780884	3.347465363	2.987519832	2.979649201	3.18348474	3.560703335	3.256705475
AT2G20050	31.73968312	34.16326373	36.12536377	38.2667158	40.68082564	42.87047688	62.44999573	80.62474095	82.7584189
AT2G20142	1.408018535	2.110373335	1.243244398	5.03605857	4.137336285	5.460364355	8.731249502	10.26289929	11.82028405
AT2G20370	20.05869035	20.5684006	19.75158477	22.77252471	22.10274902	23.30103284	52.15964278	47.1226667	48.50745786
AT2G20680	6.334308593	5.454046687	7.625841742	7.617735188	7.613307196	8.099176644	10.12997168	12.83533189	13.11508135
AT2G20800	1.024911923	1.345568522	1.261809223	1.214556791	1.182608551	0.685188546	3.378746649	3.259475722	3.036745633
AT2G07355	0	0.273674954	0	0.297442479	0.154253289	0.316240867	1.247537224	0.99201435	0.4444018
AT2G21130	4.835285579	4.018275427	3.698766775	10.49088406	8.173147528	8.73134033	181.8276873	140.3616636	166.0564994
AT2G21180	17.40529437	14.22321395	16.444849	13.34084602	14.60581865	13.28341783	30.53064992	30.26780998	32.3239825
AT2G21320	96.66909424	81.43645191	66.22522904	108.1408874	99.36988424	101.310496	205.6053772	141.2695338	117.6083139
AT2G21350	1.889131017	1.875581776	1.831589177	1.432437123	2.400009421	1.52296726	3.408354509	3.569916432	3.347446249
AT2G21380	14.67077838	14.20129211	14.19071934	13.30159092	14.08494568	13.07172343	25.65826576	25.79200824	22.36768998
AT2G21400	0.246827778	0.337781929	0.190699795	0.48948917	0.190386343	0.390318692	0.898197133	0.641346461	0.487556156
AT2G21520	38.57686707	37.56744609	35.19316204	45.9484264	45.24634313	45.6537034	84.70311228	80.21521223	77.71823753
AT2G21590	8.502234989	6.438339381	6.457676689	8.114101752	7.431493909	7.419937167	21.97267235	12.64417237	11.54844644
AT2G21620	74.28724996	77.06768968	65.70178397	82.03179554	77.20247558	80.73425226	781.3837997	790.8713805	802.9393568
AT2G21660	147.3566071	132.121106	129.9089016	486.0419474	428.9430449	415.3238814	7725.617075	8208.982369	7934.963888
AT2G21780	0.215111048	0.049062971	0.166195365	0.426591079	0.55307397	0.226775834	0.782781129	0.50812282	0.690472987
AT2G21880	2.997006885	3.597702659	3.493554547	4.262061425	4.096151554	4.032551667	6.518998181	6.930316492	7.945201785
AT2G21900	0.107001114	0.048810069	0	0.954882352	0.935379224	1.184436156	1.835615983	2.628618879	1.373827695
AT2G22070	1.139170396	0.874329495	0.72645326	0.753037302	1.041397816	0.61000329	2.556799287	1.691411625	1.964452091
AT2G22080	102.3816963	103.8300477	86.02262427	110.9007505	104.5173009	103.6352916	517.4227189	469.650136	484.3560074
AT2G22190	14.01490339	12.70113989	11.20408874	35.68134233	30.64874306	34.00517216	85.68339645	68.52994669	70.34428108
AT2G22400	29.15998483	29.11290861	28.86972008	25.76691943	26.09236124	26.38149768	55.0559031	52.25067642	53.78096337
AT2G22430	145.0309042	129.4767644	111.2255686	234.3796294	220.1458845	221.8210365	230.0400836	218.6773189	210.3570043
AT2G22450	3.715671142	4.542481702	3.827649817	3.757997608	3.413746779	3.603787335	25.49710029	25.74569804	21.74945541
AT2G22470	40.48720167	43.3861449	35.06483931	68.05675829	66.18848306	59.15442221	164.9622049	176.627317	140.1686815
